USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
MBJUNIOR  5595  0.0  0.0   8820  1100 ?        S    19:34   0:00 ksysguardd
MBJUNIOR  5613  0.0  0.2 376736 16744 ?        S    19:34   0:00 kdeinit4: kaccess [kdeinit]                    
MBJUNIOR  5623  0.0  0.4 629292 35256 ?        Sl   19:34   0:00 kdeinit4: krunner [kdeinit]                    
MBJUNIOR  5628  0.0  0.1 353772 10964 ?        Sl   19:34   0:00 kdeinit4: nepomukserver [kdeinit]              
MBJUNIOR  5632  0.0  0.3 466896 26644 ?        SNl  19:34   0:00 /usr/bin/nepomukservicestub nepomukstorage
MBJUNIOR  5635  0.0  0.0 121904  4656 ?        Sl   19:34   0:00 /usr/bin/akonadi_control
MBJUNIOR  5637  0.0  0.1 335800  8664 ?        Sl   19:34   0:00 akonadiserver
MBJUNIOR  5639  0.0  0.3 224980 29160 ?        Sl   19:34   0:00 /usr/sbin/mysqld --defaults-file=/home/MBJUNIOR/.local/share/akonadi//mysql.conf --datadir=/home/MBJUNIOR/.local/share/akonadi/db_data/ --socket=/home/MBJUNIOR/.local/share/akonadi/socket-linux-labs/mysql.socket
MBJUNIOR  5663  0.0  0.3 608292 24980 ?        Sl   19:34   0:00 kdeinit4: kmix [kdeinit] -session 10146109dad6000139345396800000056990012_1400719867_332573
MBJUNIOR  5670  0.0  0.2 356404 17372 ?        Sl   19:34   0:00 /usr/lib64/kde4/libexec/polkit-kde-authentication-agent-1
MBJUNIOR  5672  0.0  0.2 378848 18072 ?        S    19:34   0:00 kdeinit4: klipper [kdeinit]                    
MBJUNIOR  5677  0.0  0.0 345080  7992 ?        Ssl  19:34   0:00 /usr/bin/pulseaudio --start
rtkit     5680  0.0  0.0  94560  1096 ?        SNl  19:34   0:00 /usr/lib/rtkit/rtkit-daemon
MBJUNIOR  5691  8.8  5.5 1267200 445072 ?      Sl   19:34   5:52 /usr/lib64/firefox/firefox
MBJUNIOR  5701  0.0  0.2 280036 20776 ?        S    19:34   0:00 /usr/bin/akonadi_contacts_resource --identifier akonadi_contacts_resource_0
MBJUNIOR  5702  0.0  0.2 280036 20768 ?        S    19:34   0:00 /usr/bin/akonadi_contacts_resource --identifier akonadi_contacts_resource_1
MBJUNIOR  5703  0.0  0.2 280492 21176 ?        S    19:34   0:00 /usr/bin/akonadi_contacts_resource --identifier akonadi_contacts_resource_2
MBJUNIOR  5704  0.0  0.2 280036 20768 ?        S    19:34   0:00 /usr/bin/akonadi_contacts_resource --identifier akonadi_contacts_resource_3
MBJUNIOR  5705  0.0  0.2 280036 20772 ?        S    19:34   0:00 /usr/bin/akonadi_contacts_resource --identifier akonadi_contacts_resource_4
MBJUNIOR  5706  0.0  0.2 280032 20772 ?        S    19:34   0:00 /usr/bin/akonadi_contacts_resource --identifier akonadi_contacts_resource_5
MBJUNIOR  5707  0.0  0.2 280036 20772 ?        S    19:34   0:00 /usr/bin/akonadi_contacts_resource --identifier akonadi_contacts_resource_6
MBJUNIOR  5708  0.0  0.2 298924 21668 ?        S    19:34   0:00 /usr/bin/akonadi_ical_resource --identifier akonadi_ical_resource_0
MBJUNIOR  5709  0.0  0.2 286416 20736 ?        S    19:34   0:00 /usr/bin/akonadi_maildir_resource --identifier akonadi_maildir_resource_0
MBJUNIOR  5710  0.0  0.2 282692 21340 ?        S    19:34   0:00 /usr/bin/akonadi_maildispatcher_agent --identifier akonadi_maildispatcher_agent
MBJUNIOR  5712  0.0  0.2 277960 21032 ?        S    19:34   0:00 /usr/bin/akonadi_nepomuk_contact_feeder --identifier akonadi_nepomuk_contact_feeder
MBJUNIOR  5783  0.0  0.0  40180  2356 ?        S    19:34   0:00 /usr/lib/gvfs/gvfsd
MBJUNIOR  5791  0.0  0.0  88544  3212 ?        Ssl  19:34   0:00 /usr/lib/gvfs//gvfs-fuse-daemon /home/MBJUNIOR/.gvfs
MBJUNIOR  5801  0.0  0.0  45124  3112 ?        S    19:34   0:00 /usr/lib/GConf/2/gconfd-2
MBJUNIOR  5805  0.0  0.4  58876 35268 ?        SNl  19:34   0:01 /usr/bin/virtuoso-t +foreground +configfile /tmp/virtuoso_XM5632.ini +wait
MBJUNIOR  5819  0.0  0.2 345116 21000 ?        Sl   19:34   0:00 /usr/lib/mozilla/kmozillahelper
MBJUNIOR  5867  0.0  0.2 401292 21196 ?        SNl  19:34   0:00 /usr/bin/nepomukservicestub nepomukbackupsync
MBJUNIOR  5870  0.0  0.2 352984 20324 ?        SNl  19:34   0:00 /usr/bin/nepomukservicestub nepomukfilewatch
MBJUNIOR  5871  0.0  0.2 266312 18944 ?        SN   19:34   0:00 /usr/bin/nepomukservicestub nepomukqueryservice
MBJUNIOR  5872  0.0  0.2 340316 20328 ?        SNl  19:34   0:00 /usr/bin/nepomukservicestub nepomukremovablestorageservice
MBJUNIOR  5899  0.5  0.7 423084 56780 ?        Sl   19:34   0:20 /usr/lib64/firefox/plugin-container /usr/lib64/browser-plugins/libflashplayer.so -greomni /usr/lib64/firefox/omni.ja 5691 true plugin
MBJUNIOR  6074  0.1  0.3 407084 31032 ?        Sl   19:39   0:05 /usr/bin/dolphin --select /home/MBJUNIOR/Downloads/logisim-generic-2.7.1.jar
MBJUNIOR  6084  0.0  0.3 390344 24308 ?        Rl   19:39   0:01 /usr/bin/konsole --workdir /home/MBJUNIOR/Downloads
MBJUNIOR  6086  0.0  0.0  14408  3504 pts/1    Ss+  19:39   0:00 /bin/bash
MBJUNIOR  6159  0.0  0.1 270164 15060 ?        S    19:40   0:00 /usr/lib64/kde4/libexec/kpackagekitsmarticon
MBJUNIOR  6822  0.0  0.0  14408  3468 pts/2    Ss   20:11   0:00 /bin/bash
MBJUNIOR  7448  0.0  0.1 276280  9044 ?        S    20:38   0:00 kdeinit4: kio_file [kdeinit] file local:/tmp/ksocket-MBJUNIOR/klauncherMT5501.slave-socket local:/tmp/ksocket-MBJUNIOR/dolphinJh6074.slave-socket
MBJUNIOR  7456  0.7  0.4 489844 33520 ?        Rl   20:38   0:00 kdeinit4: kwrite [kdeinit] /home/MBJUNIOR/Downloads/teste.txt
MBJUNIOR  7546 10.3  0.6 125984 52084 ?        Sl   20:40   0:00 /usr/lib/Adobe/Reader9/Reader/intellinux/bin/acroread /home/MBJUNIOR/Downloads/2014521_215440_Trab2_TGB.pdf
root      7606  0.1  0.1 220328  9780 ?        Sl   20:40   0:00 /usr/lib/packagekitd
MBJUNIOR  7610  0.0  0.0   4684   952 pts/2    R+   20:40   0:00 ps -aux
